28;0;70107;1;0;4,55;22;0;0;0;2,59;9,18;5,41;2,5;0;6;4;4;0
28;1;70107;1;30,36;69,64;56;0;0;0;78,08;7,87;0;0;1;1;10;10;0
32;1;70107;1;25;0;4;2;0;0;0;0;0;0;1;3;1;0;1
21;1;70107;1;4,55;4,55;22;0;16,67;60;8,67;7,06;14,86;10,75;0;1;4;4;0
30;0;70107;1;0;0;4;0;54,55;0;0;4,82;0;0;0;0;1;2;1
34;0;70107;1;0;42,42;33;0;4,26;0;0;7,94;0;0;0;0;6;8;0
42;1;4007;1;37,93;17,24;29;2;44,12;66,67;0;6,91;0;0;0;0;6;7;0
36;0;70107;1;76,92;15,38;13;1;48;100;0;4,8;0;0;0;0;3;5;1
34;0;70107;1;53,85;34,62;26;3;69,23;100;0;3,77;0;0;0;0;2;5;1
31;0;70107;1;0;100;10;0;0;0;0;8,18;0;0;0;0;4;4;1
40;0;70107;1;65;15;20;1;41,46;83,33;0;5,83;0;0;0;0;6;8;1
34;0;20103;1;7,41;40,74;27;0;0;0;0;8,6;0;0;0;0;6;7;0
32;0;70107;1;0;50;26;0;2,44;0;0;8,2;0;0;0;0;6;7;0
34;0;70107;1;0;55,56;36;0;6,52;0;0;8,02;0;0;0;0;6;9;0
47;0;70107;1;0;0;0;0;0;0;0;9,4;0;0;0;0;3;3;1
32;0;8109;1;7,89;36,84;38;1;11,76;0;0;7,73;0;0;0;0;5;9;0
22;1;70107;1;0;0;34;0;25,81;28,57;9,94;6,61;42,5;11,5;1;1;6;6;0
56;0;70107;1;0;73,68;19;0;0;0;0;8,63;0;0;0;1;6;8;0
43;0;70107;1;5,26;73,68;19;0;2,94;11,11;0;8,18;0;0;0;0;6;8;0
41;0;0;0;0;0;0;0;14,29;0;0;6,71;0;0;0;0;3;3;1
34;0;27602;1;70,83;29,17;24;2;30,95;0;0;6,57;0;0;0;0;4;7;1
34;0;70107;1;58,33;33,33;36;0;6,25;11,11;0;7,65;0;0;0;0;6;8;0
31;0;70107;0;0;0;0;0;0;0;0;8,8;0;0;0;0;3;2;1
33;0;56908;1;62,22;22,22;45;2;0;0;0;8,36;0;0;0;0;6;8;0
35;0;70107;1;16;36;25;0;0;0;0;8,53;0;0;0;0;6;7;0
32;0;70107;1;7,69;50;26;0;0;0;0;8,31;0;0;0;0;6;7;0
47;0;70107;1;16,67;46,67;30;1;19,51;0;0;7,22;0;0;0;0;5;7;1
30;0;70107;1;5,26;44,74;38;0;6,25;12,5;0;7,85;0;0;0;0;6;8;0
30;0;70107;1;0;59,52;42;0;0;0;0;8,91;0;0;0;0;6;7;0
45;0;70107;1;11,9;50;42;0;0;0;0;8,49;0;0;0;0;6;7;0
31;0;70107;1;0;100;3;0;0;0;0;9,47;0;0;0;0;3;3;1
30;0;70107;1;7,69;53,85;26;0;0;0;0;8,51;0;0;0;0;6;7;0
39;0;70107;1;0;73,68;19;0;0;0;0;8,44;0;0;0;0;6;8;0
34;0;56908;1;13,95;46,51;43;0;0;0;0;8,18;0;0;0;0;6;6;0
40;0;70107;1;4,76;33,33;42;0;8,16;0;0;7,98;0;0;0;0;6;9;0
35;0;8109;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1
45;0;34202;1;81,82;18,18;11;0;8,82;0;0;7,29;0;0;0;0;5;6;1
30;0;70107;1;16,13;51,61;31;0;8,16;28,57;0;7,88;0;0;0;0;6;8;0
34;0;70107;1;40;8;25;0;0;0;0;8,89;0;0;0;0;6;7;0
35;0;56908;1;40,74;40,74;27;0;22,73;0;0;7;0;0;0;0;2;4;1
30;0;70107;1;0;56;25;0;0;0;0;8,33;0;0;0;0;6;7;0
30;0;70107;1;28,21;38,46;39;0;14,29;11,11;0;7,63;0;0;0;0;4;8;1
31;0;70107;1;12,5;75;8;0;16,67;0;0;6,83;0;0;0;0;2;1;1
38;0;4405;1;36,84;44,74;38;2;28,13;28,57;0;6,06;0;0;0;0;4;5;1
29;0;70107;1;0;27,08;48;0;2,17;0;0;8,15;0;0;0;0;6;7;0
30;0;56908;1;9,43;30,19;53;0;3,13;14,29;0;8,16;0;0;0;0;6;6;0
32;0;70107;1;0;33,33;3;0;0;0;0;0;0;0;0;0;1;0;1
35;0;70107;1;36,84;15,79;19;2;30;28,57;0;6,45;0;0;0;0;3;3;1
31;0;70107;1;50;33,33;6;0;0;0;0;7,5;0;0;0;0;2;1;1
35;0;70107;1;65;20;20;2;30;0;0;6,15;0;0;0;0;4;3;1
39;0;70107;1;47,37;52,63;19;0;0;0;0;8,07;0;0;0;0;3;2;1
32;0;70107;1;16,67;0;6;0;100;0;0;2,83;0;0;0;0;2;1;1
46;0;70107;1;3,45;44,83;29;0;8;28,57;0;7,4;0;0;0;0;5;4;1
30;1;70107;1;10,61;22,73;66;2;32,76;25;0;6,05;0;0;0;0;6;9;1
29;1;70107;1;100;0;1;0;0;0;0;0;0;0;0;0;1;0;1
36;0;70107;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1
44;0;70107;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1
38;0;70107;0;0;0;0;0;66,67;0;0;7,33;0;0;0;0;2;1;1
31;0;70107;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1
33;0;0;1;28,57;42,86;7;0;16,67;0;0;7,17;0;0;0;0;2;1;1
42;0;70107;0;0;0;0;0;21,43;25;0;6,71;0;0;0;0;4;3;1
46;0;70107;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1
